"REF_DATE","GEO","DGUID","Educational attainment level","Labour force and education status","Age group","Sex","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Ontario","2021A000235","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930842","8.1.3.1.1.1","18","","","","0"
"2019","Ontario","2021A000235","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930842","8.1.3.1.1.1","18","","","","0"
"2020","Ontario","2021A000235","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930842","8.1.3.1.1.1","16","","","","0"
"2021","Ontario","2021A000235","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930842","8.1.3.1.1.1","14","","","","0"
"2022","Ontario","2021A000235","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930842","8.1.3.1.1.1","18","","","","0"
"2004","Ontario","2021A000235","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930878","8.1.4.1.1.1","55","","","","0"
"2005","Ontario","2021A000235","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930878","8.1.4.1.1.1","53","","","","0"
"2006","Ontario","2021A000235","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930878","8.1.4.1.1.1","54","","","","0"
"2007","Ontario","2021A000235","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930878","8.1.4.1.1.1","54","","","","0"
"2008","Ontario","2021A000235","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930878","8.1.4.1.1.1","53","","","","0"
"2009","Ontario","2021A000235","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930878","8.1.4.1.1.1","54","","","","0"
"2010","Ontario","2021A000235","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930878","8.1.4.1.1.1","53","","","","0"
"2011","Ontario","2021A000235","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930878","8.1.4.1.1.1","53","","","","0"
"2012","Ontario","2021A000235","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930878","8.1.4.1.1.1","53","","","","0"
"2013","Ontario","2021A000235","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930878","8.1.4.1.1.1","51","","","","0"
"2014","Ontario","2021A000235","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930878","8.1.4.1.1.1","54","","","","0"
"2015","Ontario","2021A000235","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930878","8.1.4.1.1.1","53","","","","0"
"2016","Ontario","2021A000235","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930878","8.1.4.1.1.1","53","","","","0"
"2017","Ontario","2021A000235","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930878","8.1.4.1.1.1","54","","","","0"
"2018","Ontario","2021A000235","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930878","8.1.4.1.1.1","54","","","","0"
"2019","Ontario","2021A000235","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930878","8.1.4.1.1.1","55","","","","0"
"2020","Ontario","2021A000235","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930878","8.1.4.1.1.1","56","","","","0"
"2021","Ontario","2021A000235","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930878","8.1.4.1.1.1","55","","","","0"
"2022","Ontario","2021A000235","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930878","8.1.4.1.1.1","55","","","","0"
"2004","Ontario","2021A000235","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930914","8.1.5.1.1.1","43","","","","0"
"2005","Ontario","2021A000235","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930914","8.1.5.1.1.1","41","","","","0"
"2006","Ontario","2021A000235","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930914","8.1.5.1.1.1","42","","","","0"
"2007","Ontario","2021A000235","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930914","8.1.5.1.1.1","41","","","","0"
"2008","Ontario","2021A000235","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930914","8.1.5.1.1.1","41","","","","0"
"2009","Ontario","2021A000235","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930914","8.1.5.1.1.1","41","","","","0"
"2010","Ontario","2021A000235","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930914","8.1.5.1.1.1","39","","","","0"
"2011","Ontario","2021A000235","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930914","8.1.5.1.1.1","40","","","","0"
"2012","Ontario","2021A000235","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930914","8.1.5.1.1.1","40","","","","0"
"2013","Ontario","2021A000235","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930914","8.1.5.1.1.1","39","","","","0"
"2014","Ontario","2021A000235","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930914","8.1.5.1.1.1","41","","","","0"
"2015","Ontario","2021A000235","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930914","8.1.5.1.1.1","41","","","","0"
"2016","Ontario","2021A000235","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930914","8.1.5.1.1.1","41","","","","0"
"2017","Ontario","2021A000235","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930914","8.1.5.1.1.1","42","","","","0"
"2018","Ontario","2021A000235","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930914","8.1.5.1.1.1","42","","","","0"
"2019","Ontario","2021A000235","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930914","8.1.5.1.1.1","44","","","","0"
"2020","Ontario","2021A000235","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930914","8.1.5.1.1.1","43","","","","0"
"2021","Ontario","2021A000235","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930914","8.1.5.1.1.1","40","","","","0"
"2022","Ontario","2021A000235","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930914","8.1.5.1.1.1","44","","","","0"
"2004","Ontario","2021A000235","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930950","8.1.6.1.1.1","12","","","","0"
"2005","Ontario","2021A000235","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930950","8.1.6.1.1.1","12","","","","0"
"2006","Ontario","2021A000235","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930950","8.1.6.1.1.1","12","","","","0"
"2007","Ontario","2021A000235","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930950","8.1.6.1.1.1","12","","","","0"
"2008","Ontario","2021A000235","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930950","8.1.6.1.1.1","12","","","","0"
"2009","Ontario","2021A000235","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930950","8.1.6.1.1.1","13","","","","0"
"2010","Ontario","2021A000235","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930950","8.1.6.1.1.1","14","","","","0"
"2011","Ontario","2021A000235","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930950","8.1.6.1.1.1","13","","","","0"
"2012","Ontario","2021A000235","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930950","8.1.6.1.1.1","13","","","","0"
"2013","Ontario","2021A000235","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930950","8.1.6.1.1.1","12","","","","0"
"2014","Ontario","2021A000235","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930950","8.1.6.1.1.1","13","","","","0"
"2015","Ontario","2021A000235","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930950","8.1.6.1.1.1","13","","","","0"
"2016","Ontario","2021A000235","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930950","8.1.6.1.1.1","12","","","","0"
"2017","Ontario","2021A000235","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930950","8.1.6.1.1.1","12","","","","0"
"2018","Ontario","2021A000235","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930950","8.1.6.1.1.1","12","","","","0"
"2019","Ontario","2021A000235","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930950","8.1.6.1.1.1","11","","","","0"
"2020","Ontario","2021A000235","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930950","8.1.6.1.1.1","13","","","","0"
"2021","Ontario","2021A000235","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930950","8.1.6.1.1.1","15","","","","0"
"2022","Ontario","2021A000235","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247930950","8.1.6.1.1.1","11","","","","0"
"2004","Manitoba","2021A000246","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931922","9.1.1.1.1.1","100","","","","0"
"2005","Manitoba","2021A000246","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931922","9.1.1.1.1.1","100","","","","0"
"2006","Manitoba","2021A000246","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931922","9.1.1.1.1.1","100","","","","0"
"2007","Manitoba","2021A000246","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931922","9.1.1.1.1.1","100","","","","0"
"2008","Manitoba","2021A000246","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931922","9.1.1.1.1.1","100","","","","0"
"2009","Manitoba","2021A000246","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931922","9.1.1.1.1.1","100","","","","0"
"2010","Manitoba","2021A000246","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931922","9.1.1.1.1.1","100","","","","0"
"2011","Manitoba","2021A000246","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931922","9.1.1.1.1.1","100","","","","0"
"2012","Manitoba","2021A000246","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931922","9.1.1.1.1.1","100","","","","0"
"2013","Manitoba","2021A000246","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931922","9.1.1.1.1.1","100","","","","0"
"2014","Manitoba","2021A000246","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931922","9.1.1.1.1.1","100","","","","0"
"2015","Manitoba","2021A000246","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931922","9.1.1.1.1.1","100","","","","0"
"2016","Manitoba","2021A000246","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931922","9.1.1.1.1.1","100","","","","0"
"2017","Manitoba","2021A000246","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931922","9.1.1.1.1.1","100","","","","0"
"2018","Manitoba","2021A000246","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931922","9.1.1.1.1.1","100","","","","0"
"2019","Manitoba","2021A000246","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931922","9.1.1.1.1.1","100","","","","0"
"2020","Manitoba","2021A000246","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931922","9.1.1.1.1.1","100","","","","0"
"2021","Manitoba","2021A000246","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931922","9.1.1.1.1.1","100","","","","0"
"2022","Manitoba","2021A000246","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931922","9.1.1.1.1.1","100","","","","0"
"2004","Manitoba","2021A000246","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931958","9.1.2.1.1.1","44","","","","0"
"2005","Manitoba","2021A000246","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931958","9.1.2.1.1.1","43","","","","0"
"2006","Manitoba","2021A000246","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931958","9.1.2.1.1.1","46","","","","0"
"2007","Manitoba","2021A000246","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931958","9.1.2.1.1.1","42","","","","0"
"2008","Manitoba","2021A000246","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931958","9.1.2.1.1.1","41","","","","0"
"2009","Manitoba","2021A000246","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931958","9.1.2.1.1.1","42","","","","0"
"2010","Manitoba","2021A000246","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931958","9.1.2.1.1.1","41","","","","0"
"2011","Manitoba","2021A000246","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931958","9.1.2.1.1.1","42","","","","0"
"2012","Manitoba","2021A000246","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931958","9.1.2.1.1.1","42","","","","0"
"2013","Manitoba","2021A000246","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931958","9.1.2.1.1.1","41","","","","0"
"2014","Manitoba","2021A000246","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931958","9.1.2.1.1.1","41","","","","0"
"2015","Manitoba","2021A000246","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931958","9.1.2.1.1.1","40","","","","0"
"2016","Manitoba","2021A000246","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931958","9.1.2.1.1.1","40","","","","0"
"2017","Manitoba","2021A000246","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931958","9.1.2.1.1.1","41","","","","0"
"2018","Manitoba","2021A000246","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931958","9.1.2.1.1.1","41","","","","0"
"2019","Manitoba","2021A000246","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931958","9.1.2.1.1.1","40","","","","0"
"2020","Manitoba","2021A000246","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931958","9.1.2.1.1.1","42","","","","0"
"2021","Manitoba","2021A000246","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931958","9.1.2.1.1.1","42","","","","0"
"2022","Manitoba","2021A000246","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931958","9.1.2.1.1.1","41","","","","0"
"2004","Manitoba","2021A000246","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931994","9.1.3.1.1.1","22","","","","0"
"2005","Manitoba","2021A000246","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931994","9.1.3.1.1.1","19","","","","0"
"2006","Manitoba","2021A000246","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931994","9.1.3.1.1.1","24","","","","0"
"2007","Manitoba","2021A000246","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931994","9.1.3.1.1.1","21","","","","0"
"2008","Manitoba","2021A000246","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931994","9.1.3.1.1.1","21","","","","0"
"2009","Manitoba","2021A000246","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931994","9.1.3.1.1.1","21","","","","0"
"2010","Manitoba","2021A000246","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931994","9.1.3.1.1.1","19","","","","0"
"2011","Manitoba","2021A000246","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931994","9.1.3.1.1.1","19","","","","0"
"2012","Manitoba","2021A000246","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931994","9.1.3.1.1.1","20","","","","0"
"2013","Manitoba","2021A000246","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931994","9.1.3.1.1.1","21","","","","0"
"2014","Manitoba","2021A000246","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931994","9.1.3.1.1.1","18","","","","0"
"2015","Manitoba","2021A000246","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931994","9.1.3.1.1.1","18","","","","0"
"2016","Manitoba","2021A000246","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931994","9.1.3.1.1.1","17","","","","0"
"2017","Manitoba","2021A000246","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931994","9.1.3.1.1.1","17","","","","0"
"2018","Manitoba","2021A000246","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931994","9.1.3.1.1.1","19","","","","0"
"2019","Manitoba","2021A000246","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931994","9.1.3.1.1.1","18","","","","0"
"2020","Manitoba","2021A000246","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931994","9.1.3.1.1.1","17","","","","0"
"2021","Manitoba","2021A000246","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931994","9.1.3.1.1.1","15","","","","0"
"2022","Manitoba","2021A000246","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247931994","9.1.3.1.1.1","19","","","","0"
"2004","Manitoba","2021A000246","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932030","9.1.4.1.1.1","56","","","","0"
"2005","Manitoba","2021A000246","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932030","9.1.4.1.1.1","57","","","","0"
"2006","Manitoba","2021A000246","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932030","9.1.4.1.1.1","54","","","","0"
"2007","Manitoba","2021A000246","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932030","9.1.4.1.1.1","58","","","","0"
"2008","Manitoba","2021A000246","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932030","9.1.4.1.1.1","59","","","","0"
"2009","Manitoba","2021A000246","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932030","9.1.4.1.1.1","58","","","","0"
"2010","Manitoba","2021A000246","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932030","9.1.4.1.1.1","59","","","","0"
"2011","Manitoba","2021A000246","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932030","9.1.4.1.1.1","58","","","","0"
"2012","Manitoba","2021A000246","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932030","9.1.4.1.1.1","58","","","","0"
"2013","Manitoba","2021A000246","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932030","9.1.4.1.1.1","59","","","","0"
"2014","Manitoba","2021A000246","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932030","9.1.4.1.1.1","59","","","","0"
"2015","Manitoba","2021A000246","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932030","9.1.4.1.1.1","60","","","","0"
"2016","Manitoba","2021A000246","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932030","9.1.4.1.1.1","60","","","","0"
"2017","Manitoba","2021A000246","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932030","9.1.4.1.1.1","59","","","","0"
"2018","Manitoba","2021A000246","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932030","9.1.4.1.1.1","59","","","","0"
"2019","Manitoba","2021A000246","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932030","9.1.4.1.1.1","60","","","","0"
"2020","Manitoba","2021A000246","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932030","9.1.4.1.1.1","58","","","","0"
"2021","Manitoba","2021A000246","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932030","9.1.4.1.1.1","58","","","","0"
"2022","Manitoba","2021A000246","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932030","9.1.4.1.1.1","59","","","","0"
"2004","Manitoba","2021A000246","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932066","9.1.5.1.1.1","45","","","","0"
"2005","Manitoba","2021A000246","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932066","9.1.5.1.1.1","45","","","","0"
"2006","Manitoba","2021A000246","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932066","9.1.5.1.1.1","44","","","","0"
"2007","Manitoba","2021A000246","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932066","9.1.5.1.1.1","46","","","","0"
"2008","Manitoba","2021A000246","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932066","9.1.5.1.1.1","49","","","","0"
"2009","Manitoba","2021A000246","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932066","9.1.5.1.1.1","47","","","","0"
"2010","Manitoba","2021A000246","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932066","9.1.5.1.1.1","47","","","","0"
"2011","Manitoba","2021A000246","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932066","9.1.5.1.1.1","46","","","","0"
"2012","Manitoba","2021A000246","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932066","9.1.5.1.1.1","46","","","","0"
"2013","Manitoba","2021A000246","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932066","9.1.5.1.1.1","47","","","","0"
"2014","Manitoba","2021A000246","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932066","9.1.5.1.1.1","47","","","","0"
"2015","Manitoba","2021A000246","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932066","9.1.5.1.1.1","48","","","","0"
"2016","Manitoba","2021A000246","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247932066","9.1.5.1.1.1","46","","","","0"
