year,location,education_level,status,value
2013,Quebec,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2014,Quebec,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2015,Quebec,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2016,Quebec,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2017,Quebec,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",10.0
2018,Quebec,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",9.0
2019,Quebec,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",9.0
2020,Quebec,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2021,Quebec,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2022,Quebec,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",10.0
2004,Ontario,"Total, all education levels","Total, in education and not in education",100.0
2005,Ontario,"Total, all education levels","Total, in education and not in education",100.0
2006,Ontario,"Total, all education levels","Total, in education and not in education",100.0
2007,Ontario,"Total, all education levels","Total, in education and not in education",100.0
2008,Ontario,"Total, all education levels","Total, in education and not in education",100.0
2009,Ontario,"Total, all education levels","Total, in education and not in education",100.0
2010,Ontario,"Total, all education levels","Total, in education and not in education",100.0
2011,Ontario,"Total, all education levels","Total, in education and not in education",100.0
2012,Ontario,"Total, all education levels","Total, in education and not in education",100.0
2013,Ontario,"Total, all education levels","Total, in education and not in education",100.0
2014,Ontario,"Total, all education levels","Total, in education and not in education",100.0
2015,Ontario,"Total, all education levels","Total, in education and not in education",100.0
2016,Ontario,"Total, all education levels","Total, in education and not in education",100.0
2017,Ontario,"Total, all education levels","Total, in education and not in education",100.0
2018,Ontario,"Total, all education levels","Total, in education and not in education",100.0
2019,Ontario,"Total, all education levels","Total, in education and not in education",100.0
2020,Ontario,"Total, all education levels","Total, in education and not in education",100.0
2021,Ontario,"Total, all education levels","Total, in education and not in education",100.0
2022,Ontario,"Total, all education levels","Total, in education and not in education",100.0
2004,Ontario,"Total, all education levels","Total, in education",45.0
2005,Ontario,"Total, all education levels","Total, in education",47.0
2006,Ontario,"Total, all education levels","Total, in education",46.0
2007,Ontario,"Total, all education levels","Total, in education",46.0
2008,Ontario,"Total, all education levels","Total, in education",47.0
2009,Ontario,"Total, all education levels","Total, in education",46.0
2010,Ontario,"Total, all education levels","Total, in education",47.0
2011,Ontario,"Total, all education levels","Total, in education",47.0
2012,Ontario,"Total, all education levels","Total, in education",47.0
2013,Ontario,"Total, all education levels","Total, in education",49.0
2014,Ontario,"Total, all education levels","Total, in education",46.0
2015,Ontario,"Total, all education levels","Total, in education",47.0
2016,Ontario,"Total, all education levels","Total, in education",47.0
2017,Ontario,"Total, all education levels","Total, in education",46.0
2018,Ontario,"Total, all education levels","Total, in education",46.0
2019,Ontario,"Total, all education levels","Total, in education",45.0
2020,Ontario,"Total, all education levels","Total, in education",44.0
2021,Ontario,"Total, all education levels","Total, in education",45.0
2022,Ontario,"Total, all education levels","Total, in education",45.0
2004,Ontario,"Total, all education levels","Employed, in education",19.0
2005,Ontario,"Total, all education levels","Employed, in education",20.0
2006,Ontario,"Total, all education levels","Employed, in education",19.0
2007,Ontario,"Total, all education levels","Employed, in education",20.0
2008,Ontario,"Total, all education levels","Employed, in education",20.0
2009,Ontario,"Total, all education levels","Employed, in education",19.0
2010,Ontario,"Total, all education levels","Employed, in education",19.0
2011,Ontario,"Total, all education levels","Employed, in education",18.0
2012,Ontario,"Total, all education levels","Employed, in education",17.0
2013,Ontario,"Total, all education levels","Employed, in education",20.0
2014,Ontario,"Total, all education levels","Employed, in education",18.0
2015,Ontario,"Total, all education levels","Employed, in education",19.0
2016,Ontario,"Total, all education levels","Employed, in education",17.0
2017,Ontario,"Total, all education levels","Employed, in education",17.0
2018,Ontario,"Total, all education levels","Employed, in education",18.0
2019,Ontario,"Total, all education levels","Employed, in education",18.0
2020,Ontario,"Total, all education levels","Employed, in education",16.0
2021,Ontario,"Total, all education levels","Employed, in education",14.0
2022,Ontario,"Total, all education levels","Employed, in education",18.0
2004,Ontario,"Total, all education levels","Total, not in education",55.0
2005,Ontario,"Total, all education levels","Total, not in education",53.0
2006,Ontario,"Total, all education levels","Total, not in education",54.0
2007,Ontario,"Total, all education levels","Total, not in education",54.0
2008,Ontario,"Total, all education levels","Total, not in education",53.0
2009,Ontario,"Total, all education levels","Total, not in education",54.0
2010,Ontario,"Total, all education levels","Total, not in education",53.0
2011,Ontario,"Total, all education levels","Total, not in education",53.0
2012,Ontario,"Total, all education levels","Total, not in education",53.0
2013,Ontario,"Total, all education levels","Total, not in education",51.0
2014,Ontario,"Total, all education levels","Total, not in education",54.0
2015,Ontario,"Total, all education levels","Total, not in education",53.0
2016,Ontario,"Total, all education levels","Total, not in education",53.0
2017,Ontario,"Total, all education levels","Total, not in education",54.0
2018,Ontario,"Total, all education levels","Total, not in education",54.0
2019,Ontario,"Total, all education levels","Total, not in education",55.0
2020,Ontario,"Total, all education levels","Total, not in education",56.0
2021,Ontario,"Total, all education levels","Total, not in education",55.0
2022,Ontario,"Total, all education levels","Total, not in education",55.0
2004,Ontario,"Total, all education levels","Employed, not in education",43.0
2005,Ontario,"Total, all education levels","Employed, not in education",41.0
2006,Ontario,"Total, all education levels","Employed, not in education",42.0
2007,Ontario,"Total, all education levels","Employed, not in education",41.0
2008,Ontario,"Total, all education levels","Employed, not in education",41.0
2009,Ontario,"Total, all education levels","Employed, not in education",41.0
2010,Ontario,"Total, all education levels","Employed, not in education",39.0
2011,Ontario,"Total, all education levels","Employed, not in education",40.0
2012,Ontario,"Total, all education levels","Employed, not in education",40.0
2013,Ontario,"Total, all education levels","Employed, not in education",39.0
2014,Ontario,"Total, all education levels","Employed, not in education",41.0
2015,Ontario,"Total, all education levels","Employed, not in education",41.0
2016,Ontario,"Total, all education levels","Employed, not in education",41.0
2017,Ontario,"Total, all education levels","Employed, not in education",42.0
2018,Ontario,"Total, all education levels","Employed, not in education",42.0
2019,Ontario,"Total, all education levels","Employed, not in education",44.0
2020,Ontario,"Total, all education levels","Employed, not in education",43.0
2021,Ontario,"Total, all education levels","Employed, not in education",40.0
2022,Ontario,"Total, all education levels","Employed, not in education",44.0
2004,Ontario,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2005,Ontario,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2006,Ontario,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2007,Ontario,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2008,Ontario,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2009,Ontario,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2010,Ontario,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",14.0
2011,Ontario,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2012,Ontario,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2013,Ontario,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2014,Ontario,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2015,Ontario,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2016,Ontario,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2017,Ontario,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2018,Ontario,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2019,Ontario,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",11.0
2020,Ontario,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2021,Ontario,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2022,Ontario,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",11.0
2004,Manitoba,"Total, all education levels","Total, in education and not in education",100.0
2005,Manitoba,"Total, all education levels","Total, in education and not in education",100.0
2006,Manitoba,"Total, all education levels","Total, in education and not in education",100.0
2007,Manitoba,"Total, all education levels","Total, in education and not in education",100.0
2008,Manitoba,"Total, all education levels","Total, in education and not in education",100.0
2009,Manitoba,"Total, all education levels","Total, in education and not in education",100.0
2010,Manitoba,"Total, all education levels","Total, in education and not in education",100.0
2011,Manitoba,"Total, all education levels","Total, in education and not in education",100.0
2012,Manitoba,"Total, all education levels","Total, in education and not in education",100.0
2013,Manitoba,"Total, all education levels","Total, in education and not in education",100.0
2014,Manitoba,"Total, all education levels","Total, in education and not in education",100.0
2015,Manitoba,"Total, all education levels","Total, in education and not in education",100.0
2016,Manitoba,"Total, all education levels","Total, in education and not in education",100.0
2017,Manitoba,"Total, all education levels","Total, in education and not in education",100.0
2018,Manitoba,"Total, all education levels","Total, in education and not in education",100.0
2019,Manitoba,"Total, all education levels","Total, in education and not in education",100.0
2020,Manitoba,"Total, all education levels","Total, in education and not in education",100.0
2021,Manitoba,"Total, all education levels","Total, in education and not in education",100.0
2022,Manitoba,"Total, all education levels","Total, in education and not in education",100.0
2004,Manitoba,"Total, all education levels","Total, in education",44.0
2005,Manitoba,"Total, all education levels","Total, in education",43.0
2006,Manitoba,"Total, all education levels","Total, in education",46.0
2007,Manitoba,"Total, all education levels","Total, in education",42.0
2008,Manitoba,"Total, all education levels","Total, in education",41.0
2009,Manitoba,"Total, all education levels","Total, in education",42.0
2010,Manitoba,"Total, all education levels","Total, in education",41.0
2011,Manitoba,"Total, all education levels","Total, in education",42.0
2012,Manitoba,"Total, all education levels","Total, in education",42.0
2013,Manitoba,"Total, all education levels","Total, in education",41.0
2014,Manitoba,"Total, all education levels","Total, in education",41.0
2015,Manitoba,"Total, all education levels","Total, in education",40.0
2016,Manitoba,"Total, all education levels","Total, in education",40.0
2017,Manitoba,"Total, all education levels","Total, in education",41.0
2018,Manitoba,"Total, all education levels","Total, in education",41.0
2019,Manitoba,"Total, all education levels","Total, in education",40.0
2020,Manitoba,"Total, all education levels","Total, in education",42.0
2021,Manitoba,"Total, all education levels","Total, in education",42.0
2022,Manitoba,"Total, all education levels","Total, in education",41.0
2004,Manitoba,"Total, all education levels","Employed, in education",22.0
2005,Manitoba,"Total, all education levels","Employed, in education",19.0
2006,Manitoba,"Total, all education levels","Employed, in education",24.0
2007,Manitoba,"Total, all education levels","Employed, in education",21.0
2008,Manitoba,"Total, all education levels","Employed, in education",21.0
2009,Manitoba,"Total, all education levels","Employed, in education",21.0
2010,Manitoba,"Total, all education levels","Employed, in education",19.0
2011,Manitoba,"Total, all education levels","Employed, in education",19.0
2012,Manitoba,"Total, all education levels","Employed, in education",20.0
2013,Manitoba,"Total, all education levels","Employed, in education",21.0
2014,Manitoba,"Total, all education levels","Employed, in education",18.0
2015,Manitoba,"Total, all education levels","Employed, in education",18.0
2016,Manitoba,"Total, all education levels","Employed, in education",17.0
2017,Manitoba,"Total, all education levels","Employed, in education",17.0
2018,Manitoba,"Total, all education levels","Employed, in education",19.0
2019,Manitoba,"Total, all education levels","Employed, in education",18.0
2020,Manitoba,"Total, all education levels","Employed, in education",17.0
2021,Manitoba,"Total, all education levels","Employed, in education",15.0
2022,Manitoba,"Total, all education levels","Employed, in education",19.0
2004,Manitoba,"Total, all education levels","Total, not in education",56.0
2005,Manitoba,"Total, all education levels","Total, not in education",57.0
2006,Manitoba,"Total, all education levels","Total, not in education",54.0
2007,Manitoba,"Total, all education levels","Total, not in education",58.0
2008,Manitoba,"Total, all education levels","Total, not in education",59.0
2009,Manitoba,"Total, all education levels","Total, not in education",58.0
2010,Manitoba,"Total, all education levels","Total, not in education",59.0
2011,Manitoba,"Total, all education levels","Total, not in education",58.0
2012,Manitoba,"Total, all education levels","Total, not in education",58.0
2013,Manitoba,"Total, all education levels","Total, not in education",59.0
2014,Manitoba,"Total, all education levels","Total, not in education",59.0
2015,Manitoba,"Total, all education levels","Total, not in education",60.0
2016,Manitoba,"Total, all education levels","Total, not in education",60.0
2017,Manitoba,"Total, all education levels","Total, not in education",59.0
2018,Manitoba,"Total, all education levels","Total, not in education",59.0
2019,Manitoba,"Total, all education levels","Total, not in education",60.0
2020,Manitoba,"Total, all education levels","Total, not in education",58.0
2021,Manitoba,"Total, all education levels","Total, not in education",58.0
2022,Manitoba,"Total, all education levels","Total, not in education",59.0
2004,Manitoba,"Total, all education levels","Employed, not in education",45.0
2005,Manitoba,"Total, all education levels","Employed, not in education",45.0
2006,Manitoba,"Total, all education levels","Employed, not in education",44.0
2007,Manitoba,"Total, all education levels","Employed, not in education",46.0
2008,Manitoba,"Total, all education levels","Employed, not in education",49.0
2009,Manitoba,"Total, all education levels","Employed, not in education",47.0
2010,Manitoba,"Total, all education levels","Employed, not in education",47.0
2011,Manitoba,"Total, all education levels","Employed, not in education",46.0
2012,Manitoba,"Total, all education levels","Employed, not in education",46.0
2013,Manitoba,"Total, all education levels","Employed, not in education",47.0
2014,Manitoba,"Total, all education levels","Employed, not in education",47.0
2015,Manitoba,"Total, all education levels","Employed, not in education",48.0
2016,Manitoba,"Total, all education levels","Employed, not in education",46.0
2017,Manitoba,"Total, all education levels","Employed, not in education",47.0
2018,Manitoba,"Total, all education levels","Employed, not in education",46.0
2019,Manitoba,"Total, all education levels","Employed, not in education",47.0
2020,Manitoba,"Total, all education levels","Employed, not in education",45.0
2021,Manitoba,"Total, all education levels","Employed, not in education",45.0
2022,Manitoba,"Total, all education levels","Employed, not in education",48.0
2004,Manitoba,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",11.0
2005,Manitoba,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2006,Manitoba,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",10.0
2007,Manitoba,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",11.0
2008,Manitoba,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",10.0
2009,Manitoba,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2010,Manitoba,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2011,Manitoba,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2012,Manitoba,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2013,Manitoba,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2014,Manitoba,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2015,Manitoba,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2016,Manitoba,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2017,Manitoba,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2018,Manitoba,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2019,Manitoba,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2020,Manitoba,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2021,Manitoba,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2022,Manitoba,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",11.0
2004,Saskatchewan,"Total, all education levels","Total, in education and not in education",100.0
2005,Saskatchewan,"Total, all education levels","Total, in education and not in education",100.0
2006,Saskatchewan,"Total, all education levels","Total, in education and not in education",100.0
2007,Saskatchewan,"Total, all education levels","Total, in education and not in education",100.0
2008,Saskatchewan,"Total, all education levels","Total, in education and not in education",100.0
2009,Saskatchewan,"Total, all education levels","Total, in education and not in education",100.0
2010,Saskatchewan,"Total, all education levels","Total, in education and not in education",100.0
2011,Saskatchewan,"Total, all education levels","Total, in education and not in education",100.0
2012,Saskatchewan,"Total, all education levels","Total, in education and not in education",100.0
2013,Saskatchewan,"Total, all education levels","Total, in education and not in education",100.0
2014,Saskatchewan,"Total, all education levels","Total, in education and not in education",100.0
2015,Saskatchewan,"Total, all education levels","Total, in education and not in education",100.0
2016,Saskatchewan,"Total, all education levels","Total, in education and not in education",100.0
2017,Saskatchewan,"Total, all education levels","Total, in education and not in education",100.0
2018,Saskatchewan,"Total, all education levels","Total, in education and not in education",100.0
2019,Saskatchewan,"Total, all education levels","Total, in education and not in education",100.0
2020,Saskatchewan,"Total, all education levels","Total, in education and not in education",100.0
2021,Saskatchewan,"Total, all education levels","Total, in education and not in education",100.0
2022,Saskatchewan,"Total, all education levels","Total, in education and not in education",100.0
2004,Saskatchewan,"Total, all education levels","Total, in education",42.0
2005,Saskatchewan,"Total, all education levels","Total, in education",41.0
2006,Saskatchewan,"Total, all education levels","Total, in education",43.0
2007,Saskatchewan,"Total, all education levels","Total, in education",40.0
2008,Saskatchewan,"Total, all education levels","Total, in education",39.0
2009,Saskatchewan,"Total, all education levels","Total, in education",38.0
2010,Saskatchewan,"Total, all education levels","Total, in education",38.0
2011,Saskatchewan,"Total, all education levels","Total, in education",38.0
2012,Saskatchewan,"Total, all education levels","Total, in education",37.0
2013,Saskatchewan,"Total, all education levels","Total, in education",37.0
2014,Saskatchewan,"Total, all education levels","Total, in education",38.0
2015,Saskatchewan,"Total, all education levels","Total, in education",38.0
2016,Saskatchewan,"Total, all education levels","Total, in education",38.0
2017,Saskatchewan,"Total, all education levels","Total, in education",38.0
2018,Saskatchewan,"Total, all education levels","Total, in education",40.0
2019,Saskatchewan,"Total, all education levels","Total, in education",42.0
2020,Saskatchewan,"Total, all education levels","Total, in education",39.0
2021,Saskatchewan,"Total, all education levels","Total, in education",42.0
2022,Saskatchewan,"Total, all education levels","Total, in education",43.0
2004,Saskatchewan,"Total, all education levels","Employed, in education",16.0
2005,Saskatchewan,"Total, all education levels","Employed, in education",17.0
2006,Saskatchewan,"Total, all education levels","Employed, in education",18.0
2007,Saskatchewan,"Total, all education levels","Employed, in education",19.0
2008,Saskatchewan,"Total, all education levels","Employed, in education",18.0
2009,Saskatchewan,"Total, all education levels","Employed, in education",18.0
2010,Saskatchewan,"Total, all education levels","Employed, in education",17.0
2011,Saskatchewan,"Total, all education levels","Employed, in education",16.0
2012,Saskatchewan,"Total, all education levels","Employed, in education",15.0
2013,Saskatchewan,"Total, all education levels","Employed, in education",17.0
2014,Saskatchewan,"Total, all education levels","Employed, in education",15.0
2015,Saskatchewan,"Total, all education levels","Employed, in education",16.0
2016,Saskatchewan,"Total, all education levels","Employed, in education",16.0
2017,Saskatchewan,"Total, all education levels","Employed, in education",16.0
2018,Saskatchewan,"Total, all education levels","Employed, in education",15.0
2019,Saskatchewan,"Total, all education levels","Employed, in education",17.0
2020,Saskatchewan,"Total, all education levels","Employed, in education",14.0
2021,Saskatchewan,"Total, all education levels","Employed, in education",15.0
2022,Saskatchewan,"Total, all education levels","Employed, in education",19.0
2004,Saskatchewan,"Total, all education levels","Total, not in education",58.0
2005,Saskatchewan,"Total, all education levels","Total, not in education",59.0
2006,Saskatchewan,"Total, all education levels","Total, not in education",57.0
2007,Saskatchewan,"Total, all education levels","Total, not in education",60.0
2008,Saskatchewan,"Total, all education levels","Total, not in education",61.0
2009,Saskatchewan,"Total, all education levels","Total, not in education",62.0
2010,Saskatchewan,"Total, all education levels","Total, not in education",62.0
2011,Saskatchewan,"Total, all education levels","Total, not in education",62.0
2012,Saskatchewan,"Total, all education levels","Total, not in education",63.0
2013,Saskatchewan,"Total, all education levels","Total, not in education",63.0
2014,Saskatchewan,"Total, all education levels","Total, not in education",62.0
2015,Saskatchewan,"Total, all education levels","Total, not in education",62.0
2016,Saskatchewan,"Total, all education levels","Total, not in education",62.0
2017,Saskatchewan,"Total, all education levels","Total, not in education",62.0
2018,Saskatchewan,"Total, all education levels","Total, not in education",60.0
2019,Saskatchewan,"Total, all education levels","Total, not in education",58.0
2020,Saskatchewan,"Total, all education levels","Total, not in education",61.0
2021,Saskatchewan,"Total, all education levels","Total, not in education",58.0
2022,Saskatchewan,"Total, all education levels","Total, not in education",57.0
2004,Saskatchewan,"Total, all education levels","Employed, not in education",46.0
2005,Saskatchewan,"Total, all education levels","Employed, not in education",48.0
2006,Saskatchewan,"Total, all education levels","Employed, not in education",45.0
2007,Saskatchewan,"Total, all education levels","Employed, not in education",50.0
2008,Saskatchewan,"Total, all education levels","Employed, not in education",51.0
2009,Saskatchewan,"Total, all education levels","Employed, not in education",51.0
2010,Saskatchewan,"Total, all education levels","Employed, not in education",50.0
2011,Saskatchewan,"Total, all education levels","Employed, not in education",49.0
2012,Saskatchewan,"Total, all education levels","Employed, not in education",51.0
2013,Saskatchewan,"Total, all education levels","Employed, not in education",52.0
2014,Saskatchewan,"Total, all education levels","Employed, not in education",52.0
2015,Saskatchewan,"Total, all education levels","Employed, not in education",50.0
2016,Saskatchewan,"Total, all education levels","Employed, not in education",50.0
2017,Saskatchewan,"Total, all education levels","Employed, not in education",49.0
2018,Saskatchewan,"Total, all education levels","Employed, not in education",47.0
2019,Saskatchewan,"Total, all education levels","Employed, not in education",47.0
2020,Saskatchewan,"Total, all education levels","Employed, not in education",47.0
2021,Saskatchewan,"Total, all education levels","Employed, not in education",43.0
2022,Saskatchewan,"Total, all education levels","Employed, not in education",46.0
2004,Saskatchewan,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2005,Saskatchewan,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",11.0
2006,Saskatchewan,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",11.0
2007,Saskatchewan,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",10.0
2008,Saskatchewan,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",9.0
2009,Saskatchewan,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",11.0
2010,Saskatchewan,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",11.0
2011,Saskatchewan,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2012,Saskatchewan,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",11.0
2013,Saskatchewan,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",11.0
2014,Saskatchewan,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",10.0
2015,Saskatchewan,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2016,Saskatchewan,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2017,Saskatchewan,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",14.0
2018,Saskatchewan,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2019,Saskatchewan,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",11.0
2020,Saskatchewan,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",14.0
2021,Saskatchewan,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2022,Saskatchewan,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",11.0
2004,Alberta,"Total, all education levels","Total, in education and not in education",100.0
2005,Alberta,"Total, all education levels","Total, in education and not in education",100.0
2006,Alberta,"Total, all education levels","Total, in education and not in education",100.0
2007,Alberta,"Total, all education levels","Total, in education and not in education",100.0
2008,Alberta,"Total, all education levels","Total, in education and not in education",100.0
2009,Alberta,"Total, all education levels","Total, in education and not in education",100.0
2010,Alberta,"Total, all education levels","Total, in education and not in education",100.0
2011,Alberta,"Total, all education levels","Total, in education and not in education",100.0
2012,Alberta,"Total, all education levels","Total, in education and not in education",100.0
2013,Alberta,"Total, all education levels","Total, in education and not in education",100.0
2014,Alberta,"Total, all education levels","Total, in education and not in education",100.0
2015,Alberta,"Total, all education levels","Total, in education and not in education",100.0
2016,Alberta,"Total, all education levels","Total, in education and not in education",100.0
2017,Alberta,"Total, all education levels","Total, in education and not in education",100.0
2018,Alberta,"Total, all education levels","Total, in education and not in education",100.0
2019,Alberta,"Total, all education levels","Total, in education and not in education",100.0
2020,Alberta,"Total, all education levels","Total, in education and not in education",100.0
2021,Alberta,"Total, all education levels","Total, in education and not in education",100.0
2022,Alberta,"Total, all education levels","Total, in education and not in education",100.0
2004,Alberta,"Total, all education levels","Total, in education",38.0
2005,Alberta,"Total, all education levels","Total, in education",40.0
2006,Alberta,"Total, all education levels","Total, in education",39.0
2007,Alberta,"Total, all education levels","Total, in education",35.0
2008,Alberta,"Total, all education levels","Total, in education",36.0
2009,Alberta,"Total, all education levels","Total, in education",34.0
2010,Alberta,"Total, all education levels","Total, in education",36.0
2011,Alberta,"Total, all education levels","Total, in education",36.0
2012,Alberta,"Total, all education levels","Total, in education",36.0
2013,Alberta,"Total, all education levels","Total, in education",36.0
2014,Alberta,"Total, all education levels","Total, in education",38.0
2015,Alberta,"Total, all education levels","Total, in education",36.0
2016,Alberta,"Total, all education levels","Total, in education",36.0
2017,Alberta,"Total, all education levels","Total, in education",39.0
2018,Alberta,"Total, all education levels","Total, in education",37.0
2019,Alberta,"Total, all education levels","Total, in education",38.0
2020,Alberta,"Total, all education levels","Total, in education",38.0
2021,Alberta,"Total, all education levels","Total, in education",42.0
2022,Alberta,"Total, all education levels","Total, in education",46.0
2004,Alberta,"Total, all education levels","Employed, in education",18.0
2005,Alberta,"Total, all education levels","Employed, in education",18.0
2006,Alberta,"Total, all education levels","Employed, in education",19.0
2007,Alberta,"Total, all education levels","Employed, in education",17.0
2008,Alberta,"Total, all education levels","Employed, in education",17.0
2009,Alberta,"Total, all education levels","Employed, in education",16.0
2010,Alberta,"Total, all education levels","Employed, in education",16.0
2011,Alberta,"Total, all education levels","Employed, in education",16.0
2012,Alberta,"Total, all education levels","Employed, in education",16.0
2013,Alberta,"Total, all education levels","Employed, in education",15.0
2014,Alberta,"Total, all education levels","Employed, in education",16.0
2015,Alberta,"Total, all education levels","Employed, in education",16.0
2016,Alberta,"Total, all education levels","Employed, in education",16.0
2017,Alberta,"Total, all education levels","Employed, in education",17.0
2018,Alberta,"Total, all education levels","Employed, in education",15.0
2019,Alberta,"Total, all education levels","Employed, in education",14.0
2020,Alberta,"Total, all education levels","Employed, in education",12.0
2021,Alberta,"Total, all education levels","Employed, in education",14.0
2022,Alberta,"Total, all education levels","Employed, in education",20.0
2004,Alberta,"Total, all education levels","Total, not in education",62.0
2005,Alberta,"Total, all education levels","Total, not in education",60.0
2006,Alberta,"Total, all education levels","Total, not in education",61.0
2007,Alberta,"Total, all education levels","Total, not in education",65.0
2008,Alberta,"Total, all education levels","Total, not in education",64.0
2009,Alberta,"Total, all education levels","Total, not in education",66.0
2010,Alberta,"Total, all education levels","Total, not in education",64.0
2011,Alberta,"Total, all education levels","Total, not in education",64.0
2012,Alberta,"Total, all education levels","Total, not in education",64.0
2013,Alberta,"Total, all education levels","Total, not in education",64.0
2014,Alberta,"Total, all education levels","Total, not in education",62.0
2015,Alberta,"Total, all education levels","Total, not in education",64.0
2016,Alberta,"Total, all education levels","Total, not in education",64.0
2017,Alberta,"Total, all education levels","Total, not in education",61.0
2018,Alberta,"Total, all education levels","Total, not in education",63.0
2019,Alberta,"Total, all education levels","Total, not in education",62.0
2020,Alberta,"Total, all education levels","Total, not in education",62.0
2021,Alberta,"Total, all education levels","Total, not in education",58.0
2022,Alberta,"Total, all education levels","Total, not in education",54.0
2004,Alberta,"Total, all education levels","Employed, not in education",51.0
2005,Alberta,"Total, all education levels","Employed, not in education",50.0
2006,Alberta,"Total, all education levels","Employed, not in education",52.0
2007,Alberta,"Total, all education levels","Employed, not in education",54.0
2008,Alberta,"Total, all education levels","Employed, not in education",54.0
2009,Alberta,"Total, all education levels","Employed, not in education",54.0
2010,Alberta,"Total, all education levels","Employed, not in education",52.0
2011,Alberta,"Total, all education levels","Employed, not in education",52.0
2012,Alberta,"Total, all education levels","Employed, not in education",53.0
2013,Alberta,"Total, all education levels","Employed, not in education",54.0
2014,Alberta,"Total, all education levels","Employed, not in education",51.0
2015,Alberta,"Total, all education levels","Employed, not in education",52.0
2016,Alberta,"Total, all education levels","Employed, not in education",50.0
2017,Alberta,"Total, all education levels","Employed, not in education",48.0
2018,Alberta,"Total, all education levels","Employed, not in education",50.0
2019,Alberta,"Total, all education levels","Employed, not in education",50.0
